"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 23 14:13:04 GMT 2022","Thu Jun 23 14:13:15 GMT 2022","10723","","vizsgaremek","TestConduit","","","test_edit_article",""
"passed","Thu Jun 23 14:12:30 GMT 2022","Thu Jun 23 14:12:33 GMT 2022","2780","","vizsgaremek","TestConduit","","","test_invalid_registration",""
"broken","Mon Jun 27 16:44:26 GMT 2022","Mon Jun 27 16:44:38 GMT 2022","12272","test_conduit","test_conduit","TestConduit","","","test_create_new_article",""
"passed","Thu Jun 23 14:13:52 GMT 2022","Thu Jun 23 14:14:08 GMT 2022","16806","","vizsgaremek","TestConduit","","","test_input_from_file",""
"passed","Mon Jun 27 16:44:12 GMT 2022","Mon Jun 27 16:44:25 GMT 2022","12276","test_conduit","test_conduit","TestConduit","","","test_pagination",""
"broken","Mon Jun 27 16:43:44 GMT 2022","Mon Jun 27 16:43:57 GMT 2022","12811","test_conduit","test_conduit","TestConduit","","","test_login",""
"broken","Mon Jun 27 16:43:21 GMT 2022","Mon Jun 27 16:43:31 GMT 2022","10053","test_conduit","test_conduit","TestConduit","","","test_accept_cookies",""
"passed","Thu Jun 23 14:14:12 GMT 2022","Thu Jun 23 14:14:17 GMT 2022","4198","","vizsgaremek","TestConduit","","","test_logout",""
"passed","Thu Jun 23 14:12:56 GMT 2022","Thu Jun 23 14:13:01 GMT 2022","4987","","vizsgaremek","TestConduit","","","test_create_new_article",""
"passed","Thu Jun 23 14:12:49 GMT 2022","Thu Jun 23 14:12:52 GMT 2022","2616","","vizsgaremek","TestConduit","","","test_pagination",""
"broken","Mon Jun 27 16:43:32 GMT 2022","Mon Jun 27 16:43:42 GMT 2022","10014","test_conduit","test_conduit","TestConduit","","","test_invalid_registration",""
"passed","Thu Jun 23 14:12:43 GMT 2022","Thu Jun 23 14:12:46 GMT 2022","2527","","vizsgaremek","TestConduit","","","test_find_ipsum_tag",""
"broken","Mon Jun 27 16:44:54 GMT 2022","Mon Jun 27 16:45:06 GMT 2022","12274","test_conduit","test_conduit","TestConduit","","","test_save_data",""
"passed","Thu Jun 23 14:12:14 GMT 2022","Thu Jun 23 14:12:26 GMT 2022","12054","","vizsgaremek","TestConduit","","","test_accept_cookies",""
"passed","Thu Jun 23 14:13:19 GMT 2022","Thu Jun 23 14:13:26 GMT 2022","6563","","vizsgaremek","TestConduit","","","test_save_data",""
"broken","Mon Jun 27 16:45:22 GMT 2022","Mon Jun 27 16:45:34 GMT 2022","12262","test_conduit","test_conduit","TestConduit","","","test_input_from_file",""
"broken","Mon Jun 27 16:45:08 GMT 2022","Mon Jun 27 16:45:20 GMT 2022","12283","test_conduit","test_conduit","TestConduit","","","test_delete_article",""
"passed","Thu Jun 23 14:12:37 GMT 2022","Thu Jun 23 14:12:39 GMT 2022","2475","","vizsgaremek","TestConduit","","","test_login",""
"passed","Thu Jun 23 14:13:29 GMT 2022","Thu Jun 23 14:13:48 GMT 2022","18609","","vizsgaremek","TestConduit","","","test_delete_article",""
"broken","Mon Jun 27 16:44:40 GMT 2022","Mon Jun 27 16:44:52 GMT 2022","12270","test_conduit","test_conduit","TestConduit","","","test_edit_article",""
"broken","Mon Jun 27 16:45:35 GMT 2022","Mon Jun 27 16:45:50 GMT 2022","14258","test_conduit","test_conduit","TestConduit","","","test_logout",""
"broken","Mon Jun 27 16:43:58 GMT 2022","Mon Jun 27 16:44:11 GMT 2022","12258","test_conduit","test_conduit","TestConduit","","","test_find_ipsum_tag",""
