"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Jun 27 16:50:45 GMT 2022","Mon Jun 27 16:50:57 GMT 2022","12264","test_conduit","test_conduit","TestConduit","","","test_input_from_file",""
"passed","Thu Jun 23 14:12:30 GMT 2022","Thu Jun 23 14:12:33 GMT 2022","2780","","vizsgaremek","TestConduit","","","test_invalid_registration",""
"passed","Thu Jun 23 14:13:04 GMT 2022","Thu Jun 23 14:13:15 GMT 2022","10723","","vizsgaremek","TestConduit","","","test_edit_article",""
"passed","Thu Jun 23 14:13:29 GMT 2022","Thu Jun 23 14:13:48 GMT 2022","18609","","vizsgaremek","TestConduit","","","test_delete_article",""
"broken","Mon Jun 27 16:50:59 GMT 2022","Mon Jun 27 16:51:13 GMT 2022","14263","test_conduit","test_conduit","TestConduit","","","test_logout",""
"passed","Mon Jun 27 16:49:35 GMT 2022","Mon Jun 27 16:49:47 GMT 2022","12258","test_conduit","test_conduit","TestConduit","","","test_pagination",""
"passed","Thu Jun 23 14:12:37 GMT 2022","Thu Jun 23 14:12:39 GMT 2022","2475","","vizsgaremek","TestConduit","","","test_login",""
"passed","Thu Jun 23 14:12:14 GMT 2022","Thu Jun 23 14:12:26 GMT 2022","12054","","vizsgaremek","TestConduit","","","test_accept_cookies",""
"broken","Mon Jun 27 16:50:17 GMT 2022","Mon Jun 27 16:50:29 GMT 2022","12273","test_conduit","test_conduit","TestConduit","","","test_save_data",""
"broken","Mon Jun 27 16:49:07 GMT 2022","Mon Jun 27 16:49:20 GMT 2022","12799","test_conduit","test_conduit","TestConduit","","","test_login",""
"passed","Thu Jun 23 14:14:12 GMT 2022","Thu Jun 23 14:14:17 GMT 2022","4198","","vizsgaremek","TestConduit","","","test_logout",""
"passed","Thu Jun 23 14:12:49 GMT 2022","Thu Jun 23 14:12:52 GMT 2022","2616","","vizsgaremek","TestConduit","","","test_pagination",""
"broken","Mon Jun 27 16:50:31 GMT 2022","Mon Jun 27 16:50:43 GMT 2022","12277","test_conduit","test_conduit","TestConduit","","","test_delete_article",""
"broken","Mon Jun 27 16:48:43 GMT 2022","Mon Jun 27 16:48:53 GMT 2022","10020","test_conduit","test_conduit","TestConduit","","","test_accept_cookies",""
"passed","Thu Jun 23 14:13:19 GMT 2022","Thu Jun 23 14:13:26 GMT 2022","6563","","vizsgaremek","TestConduit","","","test_save_data",""
"passed","Thu Jun 23 14:12:56 GMT 2022","Thu Jun 23 14:13:01 GMT 2022","4987","","vizsgaremek","TestConduit","","","test_create_new_article",""
"broken","Mon Jun 27 16:48:55 GMT 2022","Mon Jun 27 16:49:05 GMT 2022","10035","test_conduit","test_conduit","TestConduit","","","test_invalid_registration",""
"broken","Mon Jun 27 16:50:03 GMT 2022","Mon Jun 27 16:50:15 GMT 2022","12225","test_conduit","test_conduit","TestConduit","","","test_edit_article",""
"broken","Mon Jun 27 16:49:49 GMT 2022","Mon Jun 27 16:50:01 GMT 2022","12276","test_conduit","test_conduit","TestConduit","","","test_create_new_article",""
"broken","Mon Jun 27 16:49:21 GMT 2022","Mon Jun 27 16:49:34 GMT 2022","12266","test_conduit","test_conduit","TestConduit","","","test_find_ipsum_tag",""
"passed","Thu Jun 23 14:13:52 GMT 2022","Thu Jun 23 14:14:08 GMT 2022","16806","","vizsgaremek","TestConduit","","","test_input_from_file",""
"passed","Thu Jun 23 14:12:43 GMT 2022","Thu Jun 23 14:12:46 GMT 2022","2527","","vizsgaremek","TestConduit","","","test_find_ipsum_tag",""
